,watch,usb_hub,nail_clipper,case,key,pen,toothbrush,spatula,paintbrush,mouse
watch,5,0,0,0,0,0,0,0,0,0
usb_hub,4,1,0,0,0,0,0,0,0,0
nail_clipper,0,0,4,0,0,1,0,0,0,0
case,0,0,0,4,0,0,0,0,0,1
key,0,0,0,0,5,0,0,0,0,0
pen,0,0,0,0,0,1,0,0,4,0
toothbrush,0,0,0,0,0,0,5,0,0,0
spatula,0,0,0,0,0,0,0,5,0,0
paintbrush,0,0,0,0,0,0,0,0,5,0
mouse,0,0,0,0,0,0,0,0,0,5
watch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
watch,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
