watch,0.6337,2.1484,2090.2651,1612.6870,0.5809,1.4124,2.7881,3.1790,6.1626,3.8853
usb_hub,0.6906,0.3727,1491.4419,2030.2535,0.5003,1.1464,3.5817,3.9931,7.7834,4.5967
nail_clipper,0.7735,3.6748,1262.1530,2323.0371,0.4240,0.9431,2.7150,2.9901,5.8449,3.4842
candy,0.6819,0.3377,1768.0564,1730.3654,0.4389,1.0220,4.1836,4.9755,9.8643,-5.9845
case,0.8085,0.9746,1665.1122,2224.8694,0.7946,3.6278,4.4151,7.2757,14.3746,-10.1672
key,0.4352,0.4490,1862.9839,1481.0793,0.4252,1.0712,1.4431,1.7209,3.3030,2.2567
pen,0.8035,0.1441,1549.4158,2316.2063,0.1889,0.4075,2.3402,2.4303,4.8156,2.6343
keychain,0.5472,1.3026,1444.6019,1895.2797,0.6521,2.0236,3.6711,3.4806,7.2524,5.1852
coin,0.7882,0.9858,1511.6873,1977.9425,0.7980,5.1129,6.9099,9.9752,-18.5225,-14.8199
scruchie,0.7328,0.9959,1508.5071,2121.0693,0.7639,2.8226,3.3133,5.1634,9.6133,-7.5214
